,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
0,Steven Adams,C,26,OKC,63,63,1680,8.2,13.8,.592,0.0,0.1,.333,8.2,13.7,.594,3.4,5.8,.582,6.0,10.9,16.9,4.2,1.5,1.9,2.7,3.5,19.8,,122,106
1,Bam Adebayo,PF,22,MIA,72,72,2417,8.9,16.0,.557,0.0,0.3,.143,8.8,15.7,.564,5.3,7.7,.691,3.6,11.3,14.8,7.4,1.7,1.9,4.1,3.7,23.1,,116,106
2,LaMarcus Aldridge,C,34,SAS,53,53,1754,10.7,21.6,.493,1.7,4.3,.389,9.0,17.3,.519,4.3,5.2,.827,2.8,7.9,10.7,3.5,1.0,2.4,2.0,3.5,27.3,,115,112
3,Kyle Alexander,PF,23,MIA,2,0,13,3.8,7.5,.500,0.0,0.0,,3.8,7.5,.500,0.0,0.0,,7.5,3.8,11.3,0.0,0.0,0.0,3.8,3.8,7.5,,96,116
4,Nickeil Alexander-Walker,SG,21,NOP,47,1,591,7.7,20.8,.368,3.6,10.4,.346,4.1,10.4,.391,2.0,2.9,.676,0.7,5.9,6.6,7.0,1.3,0.6,4.2,4.5,20.9,,93,113
5,Grayson Allen,SG,24,MEM,38,0,718,7.6,16.3,.466,3.7,9.2,.404,3.9,7.2,.545,2.5,2.9,.867,0.5,5.0,5.5,3.4,0.7,0.1,2.1,3.4,21.5,,114,115
6,Jarrett Allen,C,21,BRK,70,64,1852,7.7,11.9,.649,0.0,0.2,.000,7.7,11.7,.658,4.4,6.9,.633,5.5,11.6,17.1,2.8,1.0,2.4,2.0,4.1,19.8,,132,106
7,Kadeem Allen,SG,27,NYK,10,0,117,7.9,18.3,.432,2.1,6.7,.313,5.8,11.7,.500,2.9,4.6,.636,0.8,2.9,3.7,8.7,2.1,0.8,3.3,2.9,20.8,,106,114
8,Al-Farouq Aminu,PF,29,ORL,18,2,380,3.2,11.0,.291,1.2,4.6,.250,2.0,6.4,.320,2.4,3.7,.655,3.1,8.1,11.1,2.7,2.3,1.0,2.2,3.5,10.0,,88,108
9,Justin Anderson,SF,26,BRK,10,1,107,4.4,16.8,.263,2.7,12.8,.207,1.8,4.0,.444,0.9,1.8,.500,0.4,8.8,9.3,3.5,0.0,2.7,1.8,5.7,12.4,,78,109
10,Kyle Anderson,PF,26,MEM,67,28,1330,5.5,11.6,.474,0.8,3.0,.282,4.7,8.6,.541,1.8,2.7,.667,2.0,8.0,10.0,5.7,1.9,1.3,2.3,3.9,13.7,,109,109
11,Ryan Anderson,C,31,HOU,2,0,14,6.6,23.1,.286,3.3,16.5,.200,3.3,6.6,.500,0.0,0.0,,0.0,23.1,23.1,6.6,3.3,0.0,3.3,3.3,16.5,,78,98
12,Giannis Antetokounmpo,PF,25,MIL,63,63,1917,16.3,29.5,.553,2.1,7.0,.304,14.2,22.5,.631,9.5,15.0,.633,3.3,17.1,20.4,8.4,1.5,1.6,5.5,4.6,44.2,,116,97
13,Kostas Antetokounmpo,PF,22,LAL,5,0,20,7.1,7.1,1.000,0.0,0.0,,7.1,7.1,1.000,2.4,4.8,.500,4.8,2.4,7.1,4.8,0.0,0.0,2.4,4.8,16.6,,153,115
14,Thanasis Antetokounmpo,SF,27,MIL,20,2,129,8.5,17.0,.500,0.0,3.5,.000,8.5,13.5,.632,2.5,6.0,.412,4.2,4.2,8.5,5.3,2.5,0.7,4.2,6.4,19.5,,98,103
15,Carmelo Anthony,PF,35,POR,58,58,1902,8.4,19.6,.430,2.2,5.7,.385,6.2,13.9,.448,3.4,4.0,.845,1.8,7.4,9.2,2.1,1.2,0.7,2.5,4.3,22.4,,104,115
16,OG Anunoby,SF,22,TOR,69,68,2066,6.6,13.0,.505,2.0,5.2,.390,4.5,7.8,.583,1.7,2.3,.706,1.8,6.5,8.4,2.5,2.2,1.0,1.8,3.8,16.9,,114,104
17,Ryan Arcidiacono,PG,25,CHI,58,4,930,4.7,11.4,.409,2.8,7.1,.391,1.9,4.2,.439,1.4,2.0,.711,1.0,4.7,5.7,5.0,1.4,0.2,1.9,5.0,13.5,,111,113
18,Trevor Ariza,SF,34,TOT,53,21,1493,4.6,10.4,.438,2.5,6.7,.372,2.1,3.8,.556,2.0,2.4,.838,1.1,6.8,7.9,2.9,2.2,0.5,1.8,3.6,13.6,,114,112
19,Trevor Ariza,SF,34,SAC,32,0,791,3.9,10.1,.388,2.6,7.5,.352,1.3,2.6,.488,1.3,1.7,.778,1.3,7.7,9.0,3.1,2.1,0.4,1.7,3.9,11.8,,108,111
20,Trevor Ariza,SF,34,POR,21,21,702,5.3,10.8,.491,2.3,5.8,.400,3.0,5.0,.595,2.8,3.2,.872,0.9,5.9,6.8,2.8,2.3,0.5,1.9,3.3,15.7,,121,114
21,D.J. Augustin,PG,32,ORL,57,13,1420,6.3,15.8,.399,2.4,6.9,.348,3.9,8.9,.438,5.5,6.2,.890,0.8,3.4,4.2,9.0,1.2,0.0,2.9,2.5,20.5,,114,114
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Deandre Ayton,C,21,PHO,38,32,1236,11.9,21.8,.546,0.1,0.5,.231,11.8,21.3,.553,2.6,3.4,.753,5.6,11.1,16.7,2.8,1.0,2.2,3.1,4.5,26.4,,111,108
24,Dwayne Bacon,SG,24,CHO,39,11,687,6.2,17.8,.348,1.4,4.9,.284,4.8,12.9,.373,2.6,3.9,.660,1.1,6.2,7.3,3.8,1.7,0.1,2.7,3.8,16.3,,86,114
25,Marvin Bagley III,PF,20,SAC,13,6,334,11.3,24.3,.467,0.6,3.2,.182,10.7,21.1,.510,3.6,4.5,.806,4.2,9.9,14.1,1.5,0.9,1.7,2.6,6.2,26.9,,102,111
26,Lonzo Ball,PG,22,NOP,63,54,2025,6.3,15.7,.403,3.4,9.0,.375,2.9,6.7,.442,1.0,1.7,.566,1.6,7.1,8.8,10.0,2.0,0.9,4.4,2.9,17.0,,103,111
