,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Jaylen Adams,PG,23,POR,3,0,21,5.1,15.4,.333,0.0,6.9,.000,5.1,8.6,.600,0.0,0.0,,1.7,3.4,5.1,3.4,1.7,0.0,0.0,1.7,10.3
1,Steven Adams,C,26,OKC,7,7,210,5.3,8.9,.596,0.0,0.2,.000,5.3,8.7,.608,1.5,3.4,.450,5.8,8.1,13.9,1.5,0.7,0.3,2.7,1.7,12.2
2,Bam Adebayo,PF,22,MIA,19,19,687,6.5,11.5,.564,0.0,0.1,.000,6.5,11.5,.566,4.7,6.0,.783,2.5,7.8,10.3,4.4,1.0,0.8,2.5,3.0,17.7
3,Jarrett Allen,C,21,BRK,4,4,132,3.8,6.5,.583,0.0,0.0,,3.8,6.5,.583,3.5,4.4,.813,4.6,11.5,16.1,2.5,0.5,1.9,3.0,1.9,11.2
4,Justin Anderson,SF,26,BRK,3,0,28,6.4,15.4,.417,6.4,14.1,.455,0.0,1.3,.000,5.1,5.1,1.000,0.0,10.3,10.3,3.9,0.0,1.3,2.6,2.6,24.4
5,Giannis Antetokounmpo,PF,25,MIL,9,9,277,11.7,20.9,.559,1.7,5.2,.325,10.0,15.7,.636,6.1,10.5,.580,3.5,12.6,16.1,6.6,0.8,1.0,3.9,4.0,31.2
6,Carmelo Anthony,PF,35,POR,5,5,176,5.7,13.9,.412,1.6,3.9,.421,4.1,10.0,.408,2.5,2.9,.857,0.2,4.9,5.1,2.0,1.0,0.4,2.7,4.1,15.5
7,OG Anunoby,SF,22,TOR,11,11,393,3.7,8.1,.455,1.6,3.8,.415,2.1,4.3,.489,1.6,2.6,.643,2.4,4.6,7.0,1.2,1.0,1.2,1.5,2.5,10.5
8,D.J. Augustin,PG,32,ORL,5,0,128,5.1,12.9,.391,2.3,4.8,.471,2.8,8.2,.345,6.2,6.5,.957,0.0,2.8,2.8,8.4,0.3,0.0,3.4,1.7,18.6
9,J.J. Barea,PG,35,DAL,1,0,5,0.0,7.2,.000,0.0,0.0,,0.0,7.2,.000,21.6,21.6,1.000,0.0,0.0,0.0,0.0,0.0,0.0,7.2,7.2,21.6
10,Keita Bates-Diop,SF,24,DEN,5,0,24,1.5,7.5,.200,0.0,0.0,,1.5,7.5,.200,1.5,3.0,.500,4.5,4.5,9.0,1.5,0.0,0.0,0.0,0.0,4.5
11,Darius Bazley,PF,19,OKC,7,0,126,3.7,8.9,.419,3.1,6.3,.500,0.6,2.6,.222,2.6,2.9,.900,0.6,12.9,13.4,1.7,0.0,0.9,1.7,0.6,13.1
12,Patrick Beverley,PG,31,LAC,8,8,166,4.3,8.5,.513,1.7,4.8,.364,2.6,3.7,.706,0.4,0.9,.500,2.0,5.2,7.2,4.1,1.7,0.7,1.5,6.7,10.8
13,Khem Birch,C,27,ORL,5,0,89,2.8,5.7,.500,0.0,0.0,,2.8,5.7,.500,4.0,4.4,.909,3.6,6.5,10.1,2.8,0.4,0.0,2.0,4.4,9.7
14,Eric Bledsoe,PG,30,MIL,9,9,267,5.1,13.2,.388,1.1,4.3,.250,4.0,8.9,.455,2.8,3.5,.808,0.7,4.9,5.5,7.1,1.5,0.8,3.1,2.7,14.2
15,Bol Bol,SF,20,DEN,4,0,21,8.6,15.4,.556,3.4,5.1,.667,5.1,10.3,.500,12.0,13.7,.875,5.1,3.4,8.6,0.0,3.4,3.4,3.4,1.7,32.6
16,Chris Boucher,PF,27,TOR,7,0,43,2.5,9.2,.273,1.7,4.2,.400,0.8,5.0,.167,0.0,0.8,.000,2.5,7.5,10.0,0.8,0.0,1.7,0.8,4.2,6.7
17,Tony Bradley,C,22,UTA,6,0,48,1.5,6.8,.222,0.0,0.0,,1.5,6.8,.222,3.7,5.2,.714,7.5,9.7,17.2,0.7,1.5,1.5,3.0,3.0,6.8
18,Jarrell Brantley,PF,23,UTA,2,0,13,0.0,13.8,.000,0.0,8.3,.000,0.0,5.5,.000,2.8,5.5,.500,8.3,2.8,11.1,5.5,0.0,2.8,2.8,11.1,2.8
19,Malcolm Brogdon,PG,27,IND,4,4,160,5.9,14.6,.400,2.0,5.4,.375,3.8,9.2,.415,5.6,6.3,.893,0.0,3.8,3.8,9.0,0.9,0.0,2.3,2.3,19.4
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Jaylen Brown,SF,23,BOS,17,17,672,7.3,15.4,.476,2.3,6.4,.358,5.0,9.0,.560,2.8,3.4,.841,1.3,5.5,6.8,2.1,1.4,0.5,2.2,2.6,19.8
22,Sterling Brown,SF,24,MIL,1,0,4,0.0,9.0,.000,0.0,9.0,.000,0.0,0.0,,0.0,0.0,,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Trey Burke,PG,27,DAL,6,3,156,6.9,13.6,.508,1.8,3.9,.471,5.1,9.7,.524,1.4,2.3,.600,0.5,3.9,4.4,2.8,1.8,0.5,1.4,3.2,17.1
24,Alec Burks,SG,28,PHI,4,0,95,6.1,18.6,.327,1.1,6.1,.188,4.9,12.5,.394,2.7,3.4,.778,2.7,3.0,5.7,2.7,0.4,1.1,1.1,2.7,15.9
25,Deonte Burton,SG,26,OKC,1,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Jimmy Butler,SF,30,MIA,21,21,806,6.4,13.2,.488,0.7,1.9,.349,5.8,11.3,.512,7.3,8.5,.859,2.1,4.0,6.1,5.7,1.8,0.6,2.6,1.7,20.9
27,Bruno Caboclo,C,24,HOU,2,0,7,5.1,10.3,.500,0.0,5.1,.000,5.1,5.1,1.000,0.0,0.0,,0.0,15.4,15.4,0.0,5.1,0.0,0.0,10.3,10.3
28,Kentavious Caldwell-Pope,SG,26,LAL,21,21,608,4.7,11.2,.418,2.7,7.0,.378,2.0,4.1,.486,1.3,1.6,.815,0.5,2.1,2.6,1.7,1.2,0.2,0.9,2.4,13.3
29,DeMarre Carroll,PF,33,HOU,2,0,6,6.0,12.0,.500,0.0,0.0,,6.0,12.0,.500,0.0,0.0,,0.0,18.0,18.0,6.0,0.0,0.0,0.0,6.0,12.0
30,Alex Caruso,PG,25,LAL,21,1,510,3.4,8.0,.425,1.2,4.3,.279,2.2,3.7,.596,1.7,2.1,.800,1.1,2.3,3.4,4.2,1.6,0.8,2.2,3.9,9.7
31,Tyson Chandler,C,37,HOU,1,0,0,,,,,,,,,,,,.000,,,,,,,,,
