id,name,host_id,host_name,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews
46177828,Amazing 2 bedroom apt with  Privet Garden & Office,158092208,Evandra,Manhattan,Harlem,Entire home/apt,230,5,4
5305619,"Newly Renovated Flat, McKibbin Loft",5663328,Scott,Brooklyn,Williamsburg,Private room,75,30,0
33497909,"Beautiful, Comfortable Studio In Midtown!",252432969,Jaime,Manhattan,Midtown,Entire home/apt,260,30,82
10625668,The Orchid,26354652,Philbert,Brooklyn,Flatbush,Private room,126,2,1
51288148,24/7 Crashpad Centrally Located NextDoor to Subway,262459086,Kirt,Brooklyn,Clinton Hill,Shared room,38,5,0
3060745,"Furnished Sublet, Manhattan, Harlem",7101220,David,Manhattan,East Harlem,Private room,28,30,1
50468791,Clean and Stylish Noho Loft w/ Comfy King Bed,17647550,Josh,Manhattan,East Village,Entire home/apt,264,3,2
50971144,Lower East Side stylish bedroom,267028253,Julia,Manhattan,Lower East Side,Private room,91,1,3
38194280,"Modern, newly renovated East Village Apartment",173369017,Brenda,Manhattan,East Village,Entire home/apt,200,30,7
17684828,Amazing Astoria New York 2 bedroom 10 min to NYC,120456470,Nicholas,Queens,Ditmars Steinway,Entire home/apt,200,30,47
46967417,Amazing  3BR 1 Bath near central park,330366896,Orly,Manhattan,Upper West Side,Entire home/apt,260,30,1
24714252,Private apartment,186799601,Anjanny,Queens,Ditmars Steinway,Private room,75,30,0
47005438,TRIBECA -stunning 4000 sqft loft with private deck,2538621,Arne,Manhattan,Tribeca,Entire home/apt,1500,30,0
9511490,Williamsburg Secret Treasure with deck,240471,Roberto,Brooklyn,Williamsburg,Private room,60,3,7
30672441,Brooklyn Pvt Bedroom with an amazing rooftop!,229588502,Nat,Brooklyn,Williamsburg,Private room,80,30,0
28014073,Discovery,9130040,Candace,Brooklyn,East Flatbush,Private room,99,1,7
18674105,Charming East Village One Bedroom,129794391,Yinhang,Manhattan,East Village,Entire home/apt,90,30,2
45350904,3.5 MLN 2 bedroom LOFT in TriBeCa,86771798,Daia,Manhattan,Tribeca,Entire home/apt,345,30,1
12644989,Modern high-end studio!,9997184,Kelly,Manhattan,Upper West Side,Entire home/apt,200,30,10
16083752,Charming Upper East Side 1 Br on Historic Block,104821930,Elijah,Manhattan,Upper East Side,Entire home/apt,120,30,9
526923,Come stay in super comfy and cozy!,2589521,Lisbeth,Manhattan,Midtown,Entire home/apt,265,3,27
37918104,"Bronx zoo,Yankees Stadium, Museum, city",287258329,Anastacia,Bronx,Morris Heights,Private room,65,7,14
17682843,"Astoria close to JFK,Laguardia airport, Manhattan",117195769,Simone,Queens,Astoria,Private room,90,1,186
4310501,Spacious Bedroom in East Village,21127377,Orhun,Manhattan,East Village,Private room,110,30,74
42412690,"Beautiful, light filled, spacious 2 Bedroom Apt.",27477584,Tricia,Brooklyn,Greenpoint,Entire home/apt,150,30,1
33808465,"Access to public transportation
Near shopping area",255258800,Abie,Brooklyn,Midwood,Private room,100,200,20
47390691,European Charm,339532633,Maria,Queens,Ridgewood,Entire home/apt,85,31,0
49318489,Vintage Brooklyn Room 1 minute to Subway,32708211,Patnaree,Brooklyn,Bedford-Stuyvesant,Private room,68,2,11
43265846,"Citadines Connect 5th Ave, Presidential Suite",340938089,Citadines,Manhattan,Midtown,Private room,169,1,8
46329890,Soho Townhouse,43599290,Scott,Manhattan,SoHo,Entire home/apt,649,2,30
7320353,"Clean,quiet room near prospect park",5499953,R Demetre,Brooklyn,Crown Heights,Private room,125,1,2
28250925,"Bright, cozy room in Prospect Heights/Park Slope",73640551,Courtney,Brooklyn,Prospect Heights,Private room,55,30,17
16332492,Renovated Studio in Little Italy,51501835,Jeniffer,Manhattan,Little Italy,Entire home/apt,110,30,5
49606470,Furnished Bright Room in Upper East Side Apartment,305240193,June,Manhattan,Upper East Side,Private room,70,30,0
1855846,Unshared Apt Cozy One Bedroom,9685977,Sherry,Manhattan,Harlem,Entire home/apt,150,30,37
40640280,"Cozy bedroom, 30 mins from Manhattan",12428583,Rita,Brooklyn,Sunset Park,Private room,55,3,3
35647681,Fabulous 1-bedroom apartment in Clinton Hill,268173853,Kim,Brooklyn,Clinton Hill,Entire home/apt,150,30,3
4925517,L♥vely 1BR! Times Square Theatre District,22210080,Kyle,Manhattan,Hell's Kitchen,Private room,142,1,354
38956793,"Shelburne Hotel & Suites, Studio Apartment 2 Beds",268613328,Shelburne Hotel & Suites By Affinia,Manhattan,Murray Hill,Hotel room,229,1,0
45414252,Private Studio | Doorman Building | Prime Midtown,204348856,Ellie,Manhattan,Midtown,Entire home/apt,300,30,0
35195180,Sweet Home Vacation,126415353,Alessandro,Manhattan,Harlem,Private room,41,30,3
10409669,"HUGE Private Room with Mini Fridge, Microwave, etc",35421139,Shaun,Queens,Long Island City,Private room,59,20,51
44539744,Nice room available for 1 month lease,11122099,Luiz Henrique,Brooklyn,Bedford-Stuyvesant,Private room,35,30,0
