Condo,Size,Rooms,Suites,Price
1000,74,1,1,732600
2400,164,4,2,1990000
700,70,2,1,720000
1580,155,3,3,1680000
900,56,2,1,1200000
2207,122,3,1,1950000
0,149,4,3,2105860
1000,118,3,1,1475610
1350,112,3,1,1350000
1050,149,4,2,1880000
900,73,2,1,720000
1000,94,3,1,1100000
0,67,2,1,650000
1650,156,4,3,1500000
1100,97,3,1,928000
500,67,3,1,697400
835,75,2,1,750000
0,168,2,2,2680001
1500,93,2,1,820000
1500,90,2,1,820000
0,93,2,2,1100000
570,67,2,1,980000
0,275,4,4,4125000
0,105,2,2,1150000
0,68,2,1,836893
1750,126,3,1,1500000
1800,128,3,1,1250700
335,70,2,1,530000
650,95,3,1,1400000
700,83,3,1,522900
0,71,3,1,420000
295,63,2,1,369000
800,109,4,3,686700
543,50,2,1,360000
0,110,3,1,1195614
1452,221,3,3,2450000
701,126,3,3,919990
1600,172,3,3,1550000
750,87,3,1,580000
1100,185,4,1,1650000
0,83,3,1,629950
550,69,2,1,441000
0,77,3,1,550000
190,34,2,1,203000
700,85,3,1,680000
0,58,3,0,345300
0,120,3,1,995000
0,60,3,1,369000
820,140,3,1,927000
0,118,3,3,880000
0,70,2,1,526000
720,85,3,1,660000
530,64,2,1,385000
650,83,3,1,522900
452,65,3,1,340000
882,82,2,1,600000
0,70,2,1,441000
553,31,1,1,390000
821,82,3,1,830000
1200,54,2,1,420000
600,158,4,4,1737000
1300,110,3,1,780000
750,105,2,1,790000
0,100,1,1,550000
0,113,3,1,950000
550,67,2,1,785000
0,54,2,1,570140
900,130,3,3,1470000
0,169,3,2,2050000
1365,167,3,3,1690000
770,74,2,1,760000
0,67,2,1,555000
800,63,2,1,688000
800,63,2,1,690000
950,125,3,1,1250000
770,70,2,1,950000
850,72,2,1,640000
1500,121,3,1,1000000
1020,83,3,1,847000
950,94,3,1,750000
1180,100,3,3,954000
0,125,3,3,1180000
1650,225,4,3,2790000
492,41,1,1,555000
450,34,1,1,440000
1020,83,3,1,847000
1050,105,2,2,1340000
1700,92,3,1,1100000
800,83,2,2,1400000
1500,136,2,2,1650000
700,76,2,1,1195000
840,96,3,1,1200000
1500,111,3,1,1950000
2100,210,4,3,3700000
786,94,3,1,1100000
0,82,2,2,1155805
0,85,3,1,780000
1058,127,3,1,1485000
1600,138,3,3,2400000
500,136,3,3,1950000
1488,105,3,1,807000
0,206,4,4,2650000
0,95,3,1,1162756
0,112,3,1,1600000
937,98,3,1,775000
0,278,4,3,8000000
972,33,1,1,350000
0,278,4,4,8039200
500,51,1,1,590000
500,51,1,1,590000
0,115,3,3,1360000
2500,164,4,3,1780000
0,48,1,1,1106996
1729,60,2,1,1053000
729,81,2,2,1250000
761,53,1,1,610000
950,173,4,3,1297500
1500,221,4,3,2180000
0,112,3,1,940000
800,120,3,2,900000
650,102,3,1,880000
701,126,3,3,970000
850,89,3,1,699000
920,98,3,1,635000
756,30,3,0,915000
780,80,3,1,550000
900,51,1,0,365000
950,90,3,0,423500
760,107,3,1,750000
0,83,3,1,620000
1200,120,4,1,800000
600,50,2,1,540000
900,112,3,1,920000
530,86,2,1,713990
750,92,3,1,745000
0,52,2,0,435000
990,118,3,3,990000
600,63,2,1,460000
0,132,3,1,705000
550,60,2,1,399000
700,110,3,1,850000
1300,107,2,1,530000
450,64,2,1,425000
970,112,3,1,900000
400,70,2,1,526000
0,60,2,1,495000
600,79,2,0,350000
820,122,3,2,1000000
0,74,2,1,636000
0,63,2,0,420000
0,68,3,1,459400
1480,110,3,1,670000
0,109,3,3,827900
250,35,1,1,270000
1800,190,2,2,999000
750,110,2,0,560000
770,80,3,1,550000
505,70,2,1,531000
500,63,2,1,550000
500,86,3,1,689900
638,76,3,1,620000
360,63,3,1,410000
480,60,2,0,229310
1368,125,3,1,580000
300,77,2,0,270000
550,65,2,1,490245
0,68,2,1,530000
740,55,2,0,320000
0,72,3,0,480000
1600,108,2,2,1408000
390,63,2,1,579000
790,63,2,1,670000
1000,75,2,0,540000
1200,125,3,3,1400000
1200,83,1,1,980000
900,97,3,1,870000
2090,158,2,2,1800000
1850,152,3,2,1400000
880,59,2,1,640000
1900,136,3,2,1300000
700,79,2,1,926012
1500,105,3,3,1260545
1450,119,2,1,1198000
900,50,1,1,585000
850,80,2,1,1259000
2800,180,4,2,1770000
0,100,3,1,980862
3400,315,4,4,2109500
1200,139,4,1,1300000
1481,76,2,1,800000
1600,138,2,2,1950000
900,128,3,3,1462500
0,184,3,1,1380000
2217,121,3,1,1200000
0,65,2,1,592617
2600,210,3,1,1950000
1800,169,3,3,1300000
1680,116,3,1,850000
870,62,2,1,620000
1000,93,2,1,1070000
1490,167,3,3,2239000
1442,178,4,3,1890000
1400,98,2,1,1500000
0,140,3,2,1500000
0,180,2,2,2700000
0,210,4,3,3150000
650,184,3,1,1500000
850,65,2,0,636000
2800,180,4,3,1800000
2200,240,3,3,3460000
1580,178,3,3,2150000
0,70,2,0,580000
1625,178,2,2,2350000
750,67,3,1,640000
1580,178,3,3,2400000
2300,226,4,4,3200000
0,158,4,3,1550000
760,72,2,1,885000
1700,170,4,3,1350000
0,196,4,2,1800000
0,150,3,3,2660000
0,95,3,2,800000
1200,121,2,1,1700000
2630,96,2,2,1400000
0,238,4,3,3600000
1300,115,3,1,980000
2527,187,3,1,1290000
0,148,3,3,2100000
1100,134,3,3,1900000
1300,75,2,1,960000
2850,198,4,3,2400000
0,119,3,1,1050000
1500,172,3,3,1950000
0,236,4,3,3600000
400,49,1,1,530000
400,49,1,1,530000
1048,77,1,1,1200000
0,140,3,1,1500000
0,162,3,3,1600000
0,216,4,2,1700000
1050,227,3,3,1900000
1600,138,2,2,1906000
0,131,2,2,1900000
1400,99,2,1,1600000
0,103,4,2,759000
500,55,2,1,449999
240,31,1,1,194900
495,85,2,1,390000
525,58,2,1,580000
460,100,3,1,723000
750,100,3,1,720000
0,34,1,1,310000
380,69,2,1,500000
180,34,2,1,300000
480,70,2,1,570000
350,69,2,1,530000
580,58,2,1,430000
470,67,2,1,391000
400,67,2,1,435000
840,93,3,1,530000
460,64,3,1,470000
650,68,2,1,580000
0,62,2,1,490000
720,76,3,1,695000
0,100,3,1,730000
800,100,3,1,774000
900,132,3,1,1290000
560,93,3,1,751665
500,70,3,1,550000
0,79,3,1,642000
680,68,2,1,580000
900,102,3,1,940000
520,51,1,1,525000
350,61,2,1,418886
